value_type,row_type,case,run,metric,scope,publisher,n,median,p95,p99,min,max,mean,std,k_runs,median_mean,median_ci95_low,median_ci95_high,p95_mean,p95_ci95_low,p95_ci95_high,p99_mean,p99_ci95_low,p99_ci95_high,mean_mean,mean_ci95_low,mean_ci95_high,std_mean,std_ci95_low,std_ci95_high,min_mean,min_ci95_low,min_ci95_high,max_mean,max_ci95_low,max_ci95_high,n_mean
raw,per_run,baseline,baseline_003,GOOSE_interarrival_ms,publisher,00:30:a7:00:00:04,118.0,1010.0066661834717,1017.0761704444885,1019.0610694885254,1005.002498626709,1023.0090618133545,1010.1695323394516,3.5164646167121028,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_003,GOOSE_interarrival_ms,publisher,b4:b1:5a:0a:b4:01,118.0,1009.8590850830078,1016.0707354545593,1030.7088565826416,1004.9612522125244,1044.8813438415527,1009.8034446522341,4.911676366433184,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_003,GOOSE_interarrival_ms,aggregated,ALL,236.0,1009.92751121521,1016.4641737937927,1021.7896580696106,1004.9612522125244,1044.8813438415527,1009.9864884958429,4.275341987872586,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_003,GOOSE_uplink_to_hmi_latency_ms,aggregated,ALL,119.0,0.007867813110351562,0.013518333435058585,0.019817352294921847,0.0045299530029296875,0.07295608520507812,0.008903631643086923,0.006453971354385685,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_003,GOOSE_delivery_ratio,aggregated,ALL,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_003,SV_rate_pkts_per_sec,aggregated,ALL,1.0,,,,,,39.694840428332,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_004,SV_interarrival_ms,publisher,00:30:a7:00:00:03,2381.0,50.17495155334473,50.359249114990234,52.690124511718665,50.0798225402832,69.72408294677734,50.300412496465036,1.054938234877111,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_004,SV_interarrival_ms,publisher,b4:b1:5a:00:00:02,2380.0,50.17518997192383,50.39132833480835,54.25366401672363,50.049781799316406,79.06842231750488,50.33285687951481,1.2538815949578341,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_004,SV_interarrival_ms,aggregated,ALL,4761.0,50.17518997192383,50.3849983215332,53.974914550781186,50.049781799316406,79.06842231750488,50.316631280682316,1.1587803018913745,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_004,GOOSE_interarrival_ms,publisher,00:30:a7:00:00:04,118.0,1010.050892829895,1019.3650841712952,1024.577968120575,1004.9154758453369,1026.1435508728027,1011.6613759832867,4.179372671718061,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_004,GOOSE_interarrival_ms,publisher,b4:b1:5a:0a:b4:01,117.0,1010.1065635681152,1020.9630966186523,1029.2019081115723,1004.9993991851807,1039.205551147461,1011.9660858415131,5.087260169743817,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_004,GOOSE_interarrival_ms,aggregated,ALL,235.0,1010.0808143615723,1020.3891754150391,1027.9569244384766,1004.9154758453369,1039.205551147461,1011.8130825935526,4.656071032330415,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_004,GOOSE_uplink_to_hmi_latency_ms,aggregated,ALL,118.0,0.0095367431640625,0.01442432403564451,0.01918554306030273,0.0050067901611328125,0.030279159545898438,0.009664034439345538,0.003314060723765207,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_004,GOOSE_delivery_ratio,aggregated,ALL,1.0,,,,,,0.9957983193277311,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_004,SV_rate_pkts_per_sec,aggregated,ALL,1.0,,,,,,39.75963524787133,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_005,SV_interarrival_ms,publisher,00:30:a7:00:00:03,2377.0,50.16136169433594,50.316476821899414,53.879823684692354,50.07600784301758,129.52136993408203,50.42328571741652,3.447567056035411,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_005,SV_interarrival_ms,publisher,b4:b1:5a:00:00:02,2379.0,50.15873908996582,50.306081771850586,51.75843715667722,50.08292198181152,135.5917453765869,50.37724666106395,3.1984689891595237,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_005,SV_interarrival_ms,aggregated,ALL,4756.0,50.15993118286133,50.31043291091919,52.62757539749136,50.07600784301758,135.5917453765869,50.400256509034946,3.32537863244125,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_005,GOOSE_interarrival_ms,publisher,00:30:a7:00:00:04,118.0,1010.0326538085938,1016.7885780334473,1025.5132937431335,1004.889726638794,1032.179594039917,1010.7965186490851,3.9694990007281015,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_005,GOOSE_interarrival_ms,publisher,b4:b1:5a:0a:b4:01,118.0,1009.9862813949585,1017.9974555969238,1025.402774810791,1005.7895183563232,1044.7378158569336,1010.5341551667553,4.851101950911747,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_005,GOOSE_interarrival_ms,aggregated,ALL,236.0,1009.9992752075195,1017.9188847541809,1026.0440230369568,1004.889726638794,1044.7378158569336,1010.6653369079202,4.434215249249368,,,,,,,,,,,,,,,,,,,,,,,
